chid,alt_id,alt,chosen,price,catch
1,1,beach,0,157.93,0.0678
1,2,boat,0,157.93,0.2601
1,3,charter,1,182.93,0.5391
1,4,pier,0,157.93,0.0503
2,1,beach,0,15.114,0.1049
2,2,boat,0,10.534,0.1574
2,3,charter,1,34.534,0.4671
2,4,pier,0,15.114,0.0451
3,1,beach,0,161.874,0.5333
3,2,boat,1,24.334,0.2413
3,3,charter,0,59.334,1.0266
3,4,pier,0,161.874,0.4522
4,1,beach,0,15.134,0.0678
4,2,boat,0,55.93,0.1643
4,3,charter,0,84.93,0.5391
4,4,pier,1,15.134,0.0789
5,1,beach,0,106.93,0.0678
5,2,boat,1,41.514,0.1082
5,3,charter,0,71.014,0.324
5,4,pier,0,106.93,0.0503
6,1,beach,0,192.474,0.5333
6,2,boat,0,28.934,0.1665
6,3,charter,1,63.934,0.3975
6,4,pier,0,192.474,0.4522
7,1,beach,1,51.934,0.0678
7,2,boat,0,191.93,0.1643
7,3,charter,0,220.93,0.5391
7,4,pier,0,51.934,0.0789
8,1,beach,0,15.134,0.0678
8,2,boat,0,21.714,0.0102
8,3,charter,1,56.714,0.0209
8,4,pier,0,15.134,0.0789
9,1,beach,0,34.914,0.2537
9,2,boat,1,34.914,0.0233
9,3,charter,0,53.414,0.0219
9,4,pier,0,34.914,0.1498
10,1,beach,0,28.314,0.2537
10,2,boat,1,28.314,0.0233
10,3,charter,0,46.814,0.0219
10,4,pier,0,28.314,0.1498
11,1,beach,0,34.914,0.1049
11,2,boat,0,24.334,0.1574
11,3,charter,0,48.334,0.4671
11,4,pier,1,34.914,0.0451
12,1,beach,0,312.144,0.5333
12,2,boat,1,16.722,0.2413
12,3,charter,0,51.722,1.0266
12,4,pier,0,312.144,0.4522
13,1,beach,0,17.862,0.1049
13,2,boat,0,4.122,0.0023
13,3,charter,0,28.122,0.0046
13,4,pier,1,17.862,0.0451
14,1,beach,0,15.134,0.0678
14,2,boat,0,55.93,0.0014
14,3,charter,0,84.93,0.0029
14,4,pier,1,15.134,0.0789
15,1,beach,1,74.514,0.2537
15,2,boat,0,74.514,0.2339
15,3,charter,0,93.014,0.6288
15,4,pier,0,74.514,0.1498
16,1,beach,0,33.534,0.0678
16,2,boat,0,123.93,0.1643
16,3,charter,0,152.93,0.5391
16,4,pier,1,33.534,0.0789
17,1,beach,1,48.114,0.1049
17,2,boat,0,33.534,0.1574
17,3,charter,0,57.534,0.4671
17,4,pier,0,48.114,0.0451
18,1,beach,0,33.462,0.1049
18,2,boat,0,7.722,0.0613
18,3,charter,0,31.722,0.3087
18,4,pier,1,33.462,0.0079
19,1,beach,0,211.344,0.5333
19,2,boat,1,11.322,0.0361
19,3,charter,0,46.322,0.4216
19,4,pier,0,211.344,0.0069
20,1,beach,0,49.062,0.1049
20,2,boat,1,11.322,0.1574
20,3,charter,0,35.322,0.4671
20,4,pier,0,49.062,0.0451
21,1,beach,0,345.744,0.5333
21,2,boat,0,18.522,0.0156
21,3,charter,1,53.522,0.0058
21,4,pier,0,345.744,0.4522
22,1,beach,0,88.062,0.1049
22,2,boat,0,20.322,0.0023
22,3,charter,1,44.322,0.0046
