draw,ranking,error
0,3>9>5>10>2>7>8>4>1>6,0.627771713332934
1,3>10>7>5>1>4>2>8>9>6,0.643060752188447
2,5>2>6>1>8>3>4>7>10>9,0.583580506895297
3,6>5>2>3>10>7>8>1>4>9,0.527782148939619
4,4>9>5>10>3>7>1>2>6>8,0.465490256094055
5,10>6>3>5>8>2>1>9>7>4,0.540960963984618
6,9>2>8>1>7>6>3>5>4>10,0.607096730330655
7,9>6>1>3>2>10>8>4>7>5,0.569380856840835
8,9>7>10>1>3>6>8>2>5>4,0.59043199885744
9,9>5>8>3>2>10>4>1>7>6,0.552119673917326
10,9>3>6>7>4>2>1>8>5>10,0.627111611388999
11,8>9>3>7>5>6>2>4>1>10,0.629683777630377
12,6>9>8>1>5>10>4>3>2>7,0.630434598902081
13,4>6>7>2>5>8>9>10>1>3,0.538952430069162
14,4>10>1>6>5>3>2>8>7>9,0.572533642178566
15,3>7>2>4>8>1>10>5>6>9,0.519770120922453
16,7>3>1>8>9>5>4>2>6>10,0.567929769204723
17,8>3>6>4>5>1>10>9>7>2,0.645495889120723
18,8>10>1>5>3>2>7>6>9>4,0.634467759625931
19,2>8>10>7>9>5>4>1>3>6,0.600955329239847
20,8>2>9>6>1>3>7>10>5>4,0.606408852215416
21,2>3>8>4>6>7>1>5>9>10,0.606132170795337
22,3>2>10>7>4>8>1>9>5>6,0.614347757706882
23,6>9>3>10>5>8>2>1>7>4,0.54622136649799
24,10>5>9>8>6>7>2>1>4>3,0.338828861622646
25,6>2>4>9>1>3>10>8>7>5,0.583555318234044
26,9>5>10>8>3>4>2>1>7>6,0.381932847762926
27,5>3>10>2>6>7>8>1>9>4,0.638314772066207
28,10>3>9>8>4>1>5>7>6>2,0.562861037000452
29,9>7>2>8>1>3>10>5>4>6,0.639857070739316
30,1>2>3>4>7>5>8>9>10>6,0.339674498920651
31,5>2>4>9>6>10>7>1>8>3,0.508898696901392
32,10>2>3>9>4>1>5>7>6>8,0.563273009367303
33,9>4>6>10>2>7>3>1>8>5,0.618074643404469
34,1>10>9>3>8>4>5>6>7>2,0.513242836025
35,7>3>4>6>9>1>5>2>8>10,0.433882928699528
36,4>10>8>5>9>2>1>7>3>6,0.356400147541133
37,5>10>1>2>8>9>4>3>7>6,0.44959300166907
38,9>1>8>10>3>7>5>4>6>2,0.511076361031659
39,3>2>8>9>6>4>7>5>1>10,0.648068068975688
40,5>4>9>2>3>10>1>6>8>7,0.424543469250921
41,6>7>8>9>2>10>3>5>4>1,0.432011800574625
42,9>2>6>1>8>3>10>5>4>7,0.531662837305071
43,4>10>7>9>3>6>2>8>1>5,0.524124159632836
44,3>8>10>1>7>9>6>2>4>5,0.563084325978093
45,3>5>2>9>10>7>6>8>1>4,0.625524696476433
46,8>1>2>10>7>4>3>5>9>6,0.614517149849698
47,3>2>5>6>4>9>1>10>7>8,0.562948704249854
48,8>6>3>7>10>9>5>2>4>1,0.375733523510586
49,10>1>4>2>8>3>5>7>6>9,0.536174580737017
50,8>9>7>3>5>2>6>4>10>1,0.62181933453703
51,4>5>3>7>8>9>2>1>6>10,0.34742596589121
52,10>2>9>4>3>1>5>7>8>6,0.529569709034685
53,2>3>1>7>5>8>4>9>6>10,0.509335610569127
54,5>9>7>4>10>1>2>8>3>6,0.454789943805756
55,5>1>3>2>4>7>10>6>9>8,0.440310013791446
56,7>2>9>10>4>3>1>8>5>6,0.669403257437375
57,4>9>2>5>8>3>1>10>6>7,0.561309530590393
58,5>3>7>9>10>6>2>8>1>4,0.623331151175845
59,3>7>5>9>1>10>6>4>8>2,0.618652882609425
60,6>9>8>5>10>1>4>3>7>2,0.603327807170651
61,7>5>2>6>10>8>1>9>3>4,0.652461544567605
62,1>5>7>10>6>4>8>2>9>3,0.635719702561011
63,6>10>4>9>7>2>1>3>8>5,0.561276037642302
64,3>1>6>4>10>2>9>8>7>5,0.490578543479732
65,4>3>5>7>2>8>1>10>9>6,0.414425890922768
66,1>9>10>2>7>6>3>4>8>5,0.462576494267863
67,1>5>8>10>7>2>9>3>6>4,0.569711333560569
68,7>2>4>6>1>9>10>5>8>3,0.61233152561547
69,4>9>3>6>1>10>2>5>8>7,0.609851498681731
70,6>9>2>10>8>4>5>1>3>7,0.532847402729742
71,5>6>4>7>10>2>3>1>9>8,0.570363274107794
72,1>5>2>10>8>6>3>7>4>9,0.461716806208516
73,8>5>2>4>6>1>9>10>3>7,0.647664618423545
74,1>6>8>7>4>3>9>2>5>10,0.587918242381087
75,7>5>8>3>6>10>2>4>1>9,0.556552726796804
76,7>4>5>10>6>3>1>9>8>2,0.501582546561952
77,3>2>10>7>1>6>4>9>5>8,0.518136689710372
78,4>3>5>10>9>2>1>8>7>6,0.527813851153355
79,10>6>9>2>7>3>1>5>4>8,0.39441326466873
80,1>10>2>5>6>9>8>3>4>7,0.422269799068132
81,8>3>9>5>6>10>7>1>2>4,0.632590631749601
82,2>7>1>5>9>6>8>10>3>4,0.626651038911095
83,10>2>5>4>6>7>9>1>8>3,0.597894841106991
84,4>7>10>3>1>8>5>6>9>2,0.499233864904639
85,10>7>3>2>8>9>6>4>5>1,0.576667675110461
86,3>7>6>2>9>4>8>10>1>5,0.441248094768325
87,3>5>8>6>2>1>4>9>10>7,0.645370388251348
88,10>4>6>7>5>3>2>8>1>9,0.55087454202257
89,2>8>9>1>3>10>7>6>5>4,0.581645161005138
90,9>2>1>7>6>10>5>8>4>3,0.580694258569976
91,4>1>9>2>7>8>5>6>10>3,0.494395928449798
92,8>1>6>2>9>5>7>10>3>4,0.618640525667125
93,3>9>4>7>8>10>2>1>5>6,0.647252208020011
94,5>7>8>9>2>10>4>6>1>3,0.564824816817881
95,9>2>5>1>3>6>8>10>4>7,0.518468551996802
96,1>9>4>3>6>2>8>10>7>5,0.573858238459757
97,8>2>3>1>7>9>5>6>10>4,0.63226458676755
98,1>6>8>4>3>9>7>10>2>5,0.611467829879587
99,9>6>5>3>7>8>1>10>4>2,0.642511708236151
