ranking,representable,linear_greedy,linear_em,quadratic_greedy,quadratic_em
2>4>3>1,0,5.869e-01,5.929e-01,7.251e-04,1.364e-13
2>4>1>3,0,5.796e-01,5.886e-01,7.242e-04,5.526e-13
1>3>4>2,0,5.568e-01,5.566e-01,1.060e-06,6.904e-13
3>1>4>2,0,5.297e-01,5.711e-01,1.045e-03,9.123e-13
1>3>2>4,0,5.054e-01,5.197e-01,1.129e-03,5.090e-13
3>1>2>4,0,4.491e-01,4.721e-01,1.129e-03,6.672e-14
4>2>3>1,0,4.423e-01,4.808e-01,2.870e-06,1.003e-12
4>2>1>3,0,4.042e-01,4.334e-01,1.089e-03,2.139e-13
1>4>3>2,0,3.743e-01,3.814e-01,8.528e-04,1.704e-13
2>3>4>1,0,3.741e-01,3.814e-01,4.278e-04,2.599e-13
2>1>4>3,0,3.698e-01,3.776e-01,4.280e-04,9.336e-14
3>4>1>2,0,3.616e-01,3.787e-01,8.536e-04,2.002e-14
4>3>1>2,1,2.771e-05,6.555e-15,2.491e-06,5.226e-14
2>3>1>4,1,2.672e-05,1.510e-08,2.447e-06,1.726e-14
4>1>3>2,1,2.565e-05,1.106e-08,1.829e-06,1.065e-13
4>1>2>3,1,7.672e-06,1.464e-16,1.631e-06,1.866e-15
4>3>2>1,1,6.883e-06,2.571e-16,1.089e-03,1.230e-14
2>1>3>4,1,3.637e-06,2.255e-15,6.952e-06,1.063e-14
3>4>2>1,1,2.460e-06,4.426e-17,1.423e-06,1.703e-15
3>2>1>4,1,1.487e-06,8.490e-17,1.386e-06,4.472e-16
1>4>2>3,1,7.845e-07,1.402e-16,8.548e-04,1.084e-14
1>2>3>4,1,5.968e-07,8.629e-17,1.129e-03,3.147e-16
1>2>4>3,1,5.442e-07,1.016e-16,1.045e-03,7.673e-16
3>2>4>1,1,2.904e-07,4.451e-17,4.271e-04,1.746e-14
