ranking,representable,linear_greedy,linear_em,quadratic_greedy,quadratic_em
1>2>3>4,0,7.270e-01,5.921e-01,1.030e-06,2.708e-13
1>2>4>3,0,6.716e-01,5.843e-01,2.754e-05,5.459e-14
4>3>2>1,0,6.111e-01,5.534e-01,9.275e-07,5.282e-13
4>3>1>2,0,5.260e-01,5.130e-01,3.075e-05,3.254e-13
3>4>2>1,0,4.936e-01,5.298e-01,2.520e-05,1.035e-12
2>1>3>4,0,4.574e-01,4.891e-01,3.164e-05,1.543e-12
1>4>2>3,0,4.214e-01,3.574e-01,2.549e-05,1.133e-13
3>4>1>2,0,4.014e-01,4.249e-01,2.712e-05,1.858e-13
1>3>2>4,0,4.003e-01,3.814e-01,4.279e-04,5.117e-13
2>1>4>3,0,3.898e-01,4.092e-01,2.940e-05,1.002e-13
4>2>3>1,0,3.738e-01,3.814e-01,7.849e-04,4.061e-13
3>2>4>1,0,3.007e-01,3.173e-01,3.092e-05,1.245e-13
3>2>1>4,1,7.680e-05,1.597e-16,6.611e-05,3.700e-15
2>4>1>3,1,7.643e-05,1.091e-16,7.073e-05,4.060e-16
3>1>4>2,1,7.633e-05,9.002e-17,7.488e-05,1.006e-14
4>1>2>3,1,6.348e-05,1.306e-16,2.689e-05,1.362e-16
2>3>1>4,1,5.685e-05,8.119e-17,5.594e-05,2.936e-14
2>3>4>1,1,5.680e-05,1.455e-16,4.832e-05,9.680e-15
1>4>3>2,1,4.376e-05,2.785e-17,3.553e-05,1.507e-14
4>1>3>2,1,4.076e-05,2.704e-16,3.343e-05,6.446e-15
1>3>4>2,1,3.513e-05,5.372e-16,3.876e-05,3.223e-14
3>1>2>4,1,3.163e-05,1.364e-17,2.329e-05,1.649e-14
2>4>3>1,1,3.160e-05,3.556e-15,3.120e-05,6.668e-14
4>2>1>3,1,3.136e-05,3.878e-17,2.597e-05,4.137e-15
